"cntry_key","year","usd"
"COL",1998,98443743191
"COL",2002,97933392356
"COL",2004,1.17075e+11
"COL",2005,1.4652e+11
"COL",2006,1.62774e+11
"COL",2007,2.0752e+11
"COL",2008,2.44078e+11
"COL",2009,2.3436e+11
"COL",2010,2.86381e+11
"COL",2011,3.33372e+11
