"rgn_id","year","count"
5,1990,11408207.4424302
9,1990,11408207.4424302
8,1990,11408207.4424302
2,1990,11408207.4424302
4,1990,11408207.4424302
6,1990,11408207.4424302
12,1990,11408207.4424302
10,1990,11408207.4424302
1,1990,11408207.4424302
11,1990,11408207.4424302
7,1990,11408207.4424302
3,1990,11408207.4424302
5,1991,11711189.1948223
9,1991,11711189.1948223
8,1991,11711189.1948223
2,1991,11711189.1948223
4,1991,11711189.1948223
6,1991,11711189.1948223
12,1991,11711189.1948223
10,1991,11711189.1948223
1,1991,11711189.1948223
11,1991,11711189.1948223
7,1991,11711189.1948223
3,1991,11711189.1948223
5,1992,11998488.3585158
9,1992,11998488.3585158
8,1992,11998488.3585158
2,1992,11998488.3585158
4,1992,11998488.3585158
6,1992,11998488.3585158
12,1992,11998488.3585158
10,1992,11998488.3585158
1,1992,11998488.3585158
11,1992,11998488.3585158
7,1992,11998488.3585158
3,1992,11998488.3585158
5,1993,12314265.224841
9,1993,12314265.224841
8,1993,12314265.224841
2,1993,12314265.224841
4,1993,12314265.224841
6,1993,12314265.224841
12,1993,12314265.224841
10,1993,12314265.224841
1,1993,12314265.224841
11,1993,12314265.224841
7,1993,12314265.224841
3,1993,12314265.224841
5,1994,12939441.562066
9,1994,12939441.562066
8,1994,12939441.562066
2,1994,12939441.562066
4,1994,12939441.562066
6,1994,12939441.562066
12,1994,12939441.562066
10,1994,12939441.562066
1,1994,12939441.562066
11,1994,12939441.562066
7,1994,12939441.562066
3,1994,12939441.562066
5,1995,13609890.5141306
9,1995,13609890.5141306
8,1995,13609890.5141306
2,1995,13609890.5141306
4,1995,13609890.5141306
6,1995,13609890.5141306
12,1995,13609890.5141306
10,1995,13609890.5141306
1,1995,13609890.5141306
11,1995,13609890.5141306
7,1995,13609890.5141306
3,1995,13609890.5141306
5,1996,14303779.4741653
9,1996,14303779.4741653
8,1996,14303779.4741653
2,1996,14303779.4741653
4,1996,14303779.4741653
6,1996,14303779.4741653
12,1996,14303779.4741653
10,1996,14303779.4741653
1,1996,14303779.4741653
11,1996,14303779.4741653
7,1996,14303779.4741653
3,1996,14303779.4741653
5,1997,15021636.1578596
9,1997,15021636.1578596
8,1997,15021636.1578596
2,1997,15021636.1578596
4,1997,15021636.1578596
6,1997,15021636.1578596
12,1997,15021636.1578596
10,1997,15021636.1578596
1,1997,15021636.1578596
11,1997,15021636.1578596
7,1997,15021636.1578596
3,1997,15021636.1578596
5,1998,15762856.5327246
9,1998,15762856.5327246
8,1998,15762856.5327246
2,1998,15762856.5327246
4,1998,15762856.5327246
6,1998,15762856.5327246
12,1998,15762856.5327246
10,1998,15762856.5327246
1,1998,15762856.5327246
11,1998,15762856.5327246
7,1998,15762856.5327246
3,1998,15762856.5327246
5,1999,16552452.1469545
9,1999,16552452.1469545
8,1999,16552452.1469545
2,1999,16552452.1469545
4,1999,16552452.1469545
6,1999,16552452.1469545
12,1999,16552452.1469545
10,1999,16552452.1469545
1,1999,16552452.1469545
11,1999,16552452.1469545
7,1999,16552452.1469545
3,1999,16552452.1469545
5,2000,17337687.7177762
9,2000,17337687.7177762
8,2000,17337687.7177762
2,2000,17337687.7177762
4,2000,17337687.7177762
6,2000,17337687.7177762
12,2000,17337687.7177762
10,2000,17337687.7177762
1,2000,17337687.7177762
11,2000,17337687.7177762
7,2000,17337687.7177762
3,2000,17337687.7177762
5,2001,18116151.8555523
9,2001,18116151.8555523
8,2001,18116151.8555523
2,2001,18116151.8555523
4,2001,18116151.8555523
6,2001,18116151.8555523
12,2001,18116151.8555523
10,2001,18116151.8555523
1,2001,18116151.8555523
11,2001,18116151.8555523
7,2001,18116151.8555523
3,2001,18116151.8555523
5,2002,18942214.2007332
9,2002,18942214.2007332
