"rgn_id","habitat","km2"
5,"mangrove",169.256576250701
9,"mangrove",72.7227790317783
8,"mangrove",143.426315858862
2,"mangrove",85.3469618400682
4,"mangrove",411.983905894909
6,"mangrove",112.881747378235
12,"mangrove",307.973386050959
10,"mangrove",142.151981930823
1,"mangrove",250.047065729592
11,"mangrove",118.498558993198
7,"mangrove",109.734321281885
3,"mangrove",177.01340975899
5,"seagrass",29.9681977749369
9,"seagrass",12.8761355868342
8,"seagrass",25.3947485823089
2,"seagrass",15.1113456774922
4,"seagrass",72.9449658349596
6,"seagrass",19.9865943501111
12,"seagrass",54.5290915545971
10,"seagrass",25.1691178149097
1,"seagrass",44.2727844602494
11,"seagrass",20.9810946825085
7,"seagrass",19.4293179959108
3,"seagrass",31.3416056851817
