"rgn_id","year","value"
5,1990,"0.0669707428212602"
9,1990,"0.0669707428212602"
8,1990,"0.0669707428212602"
2,1990,"0.0669707428212602"
4,1990,"0.0669707428212602"
6,1990,"0.0669707428212602"
12,1990,"0.0669707428212602"
10,1990,"0.0669707428212602"
1,1990,"0.0669707428212602"
11,1990,"0.0669707428212602"
7,1990,"0.0669707428212602"
3,1990,"0.0669707428212602"
5,1991,"0.0703538516983424"
9,1991,"0.0703538516983424"
8,1991,"0.0703538516983424"
2,1991,"0.0703538516983424"
4,1991,"0.0703538516983424"
6,1991,"0.0703538516983424"
12,1991,"0.0703538516983424"
10,1991,"0.0703538516983424"
1,1991,"0.0703538516983424"
11,1991,"0.0703538516983424"
7,1991,"0.0703538516983424"
3,1991,"0.0703538516983424"
5,1992,"0.0740180073585135"
9,1992,"0.0740180073585135"
8,1992,"0.0740180073585135"
2,1992,"0.0740180073585135"
4,1992,"0.0740180073585135"
6,1992,"0.0740180073585135"
12,1992,"0.0740180073585135"
10,1992,"0.0740180073585135"
1,1992,"0.0740180073585135"
11,1992,"0.0740180073585135"
7,1992,"0.0740180073585135"
3,1992,"0.0740180073585135"
5,1993,"0.0773874378372773"
9,1993,"0.0773874378372773"
8,1993,"0.0773874378372773"
2,1993,"0.0773874378372773"
4,1993,"0.0773874378372773"
6,1993,"0.0773874378372773"
12,1993,"0.0773874378372773"
10,1993,"0.0773874378372773"
1,1993,"0.0773874378372773"
11,1993,"0.0773874378372773"
7,1993,"0.0773874378372773"
3,1993,"0.0773874378372773"
5,1994,"0.0791594993325818"
9,1994,"0.0791594993325818"
8,1994,"0.0791594993325818"
2,1994,"0.0791594993325818"
4,1994,"0.0791594993325818"
6,1994,"0.0791594993325818"
12,1994,"0.0791594993325818"
10,1994,"0.0791594993325818"
1,1994,"0.0791594993325818"
11,1994,"0.0791594993325818"
7,1994,"0.0791594993325818"
3,1994,"0.0791594993325818"
5,1995,"0.0805717829468646"
9,1995,"0.0805717829468646"
8,1995,"0.0805717829468646"
2,1995,"0.0805717829468646"
4,1995,"0.0805717829468646"
6,1995,"0.0805717829468646"
12,1995,"0.0805717829468646"
10,1995,"0.0805717829468646"
1,1995,"0.0805717829468646"
11,1995,"0.0805717829468646"
7,1995,"0.0805717829468646"
3,1995,"0.0805717829468646"
5,1996,"0.0803902560673778"
9,1996,"0.0803902560673778"
8,1996,"0.0803902560673778"
2,1996,"0.0803902560673778"
4,1996,"0.0803902560673778"
6,1996,"0.0803902560673778"
12,1996,"0.0803902560673778"
10,1996,"0.0803902560673778"
1,1996,"0.0803902560673778"
11,1996,"0.0803902560673778"
7,1996,"0.0803902560673778"
3,1996,"0.0803902560673778"
5,1997,"0.0797270526077781"
9,1997,"0.0797270526077781"
8,1997,"0.0797270526077781"
2,1997,"0.0797270526077781"
4,1997,"0.0797270526077781"
6,1997,"0.0797270526077781"
12,1997,"0.0797270526077781"
10,1997,"0.0797270526077781"
1,1997,"0.0797270526077781"
11,1997,"0.0797270526077781"
7,1997,"0.0797270526077781"
3,1997,"0.0797270526077781"
5,1998,"0.0829174300006825"
9,1998,"0.0829174300006825"
8,1998,"0.0829174300006825"
2,1998,"0.0829174300006825"
4,1998,"0.0829174300006825"
6,1998,"0.0829174300006825"
12,1998,"0.0829174300006825"
10,1998,"0.0829174300006825"
1,1998,"0.0829174300006825"
11,1998,"0.0829174300006825"
7,1998,"0.0829174300006825"
3,1998,"0.0829174300006825"
5,1999,"0.0797431238069148"
9,1999,"0.0797431238069148"
8,1999,"0.0797431238069148"
2,1999,"0.0797431238069148"
4,1999,"0.0797431238069148"
6,1999,"0.0797431238069148"
12,1999,"0.0797431238069148"
10,1999,"0.0797431238069148"
1,1999,"0.0797431238069148"
11,1999,"0.0797431238069148"
7,1999,"0.0797431238069148"
3,1999,"0.0797431238069148"
5,2000,"0.0754028688851567"
9,2000,"0.0754028688851567"
8,2000,"0.0754028688851567"
2,2000,"0.0754028688851567"
4,2000,"0.0754028688851567"
6,2000,"0.0754028688851567"
12,2000,"0.0754028688851567"
10,2000,"0.0754028688851567"
1,2000,"0.0754028688851567"
11,2000,"0.0754028688851567"
7,2000,"0.0754028688851567"
3,2000,"0.0754028688851567"
5,2001,"0.0752173934633521"
9,2001,"0.0752173934633521"
8,2001,"0.0752173934633521"
2,2001,"0.0752173934633521"
4,2001,"0.0752173934633521"
6,2001,"0.0752173934633521"
12,2001,"0.0752173934633521"
10,2001,"0.0752173934633521"
1,2001,"0.0752173934633521"
11,2001,"0.0752173934633521"
7,2001,"0.0752173934633521"
3,2001,"0.0752173934633521"
5,2002,"0.0728950244139916"
9,2002,"0.0728950244139916"
8,2002,"0.0728950244139916"
2,2002,"0.0728950244139916"
4,2002,"0.0728950244139916"
6,2002,"0.0728950244139916"
12,2002,"0.0728950244139916"
10,2002,"0.0728950244139916"
1,2002,"0.0728950244139916"
11,2002,"0.0728950244139916"
7,2002,"0.0728950244139916"
3,2002,"0.0728950244139916"
5,2003,"0.0755390833796123"
9,2003,"0.0755390833796123"
8,2003,"0.0755390833796123"
2,2003,"0.0755390833796123"
4,2003,"0.0755390833796123"
6,2003,"0.0755390833796123"
12,2003,"0.0755390833796123"
10,2003,"0.0755390833796123"
1,2003,"0.0755390833796123"
11,2003,"0.0755390833796123"
7,2003,"0.0755390833796123"
3,2003,"0.0755390833796123"
5,2004,"0.0716982662346111"
9,2004,"0.0716982662346111"
8,2004,"0.0716982662346111"
2,2004,"0.0716982662346111"
4,2004,"0.0716982662346111"
6,2004,"0.0716982662346111"
