"rgn_id","species_code","year","tonnes"
11,178,2011,1
7,178,2011,1
3,178,2011,1
5,178,2012,0
9,178,2012,0
8,178,2012,0
2,178,2012,0
4,178,2012,0
6,178,2012,0
12,178,2012,0
10,178,2012,0
1,178,2012,0
11,178,2012,0
7,178,2012,0
3,178,2012,0
5,179,2003,16503
9,179,2003,16503
8,179,2003,16503
2,179,2003,16503
4,179,2003,16503
6,179,2003,16503
12,179,2003,16503
10,179,2003,16503
1,179,2003,16503
11,179,2003,16503
7,179,2003,16503
3,179,2003,16503
5,179,2004,18040
9,179,2004,18040
8,179,2004,18040
2,179,2004,18040
4,179,2004,18040
6,179,2004,18040
12,179,2004,18040
10,179,2004,18040
1,179,2004,18040
11,179,2004,18040
7,179,2004,18040
3,179,2004,18040
5,179,2005,19000
9,179,2005,19000
8,179,2005,19000
2,179,2005,19000
4,179,2005,19000
6,179,2005,19000
12,179,2005,19000
10,179,2005,19000
1,179,2005,19000
11,179,2005,19000
7,179,2005,19000
3,179,2005,19000
5,179,2006,21600
9,179,2006,21600
8,179,2006,21600
2,179,2006,21600
4,179,2006,21600
6,179,2006,21600
12,179,2006,21600
10,179,2006,21600
1,179,2006,21600
11,179,2006,21600
7,179,2006,21600
3,179,2006,21600
5,179,2007,20300
9,179,2007,20300
8,179,2007,20300
2,179,2007,20300
4,179,2007,20300
6,179,2007,20300
12,179,2007,20300
10,179,2007,20300
1,179,2007,20300
11,179,2007,20300
7,179,2007,20300
3,179,2007,20300
5,179,2008,18400
9,179,2008,18400
8,179,2008,18400
2,179,2008,18400
4,179,2008,18400
6,179,2008,18400
12,179,2008,18400
10,179,2008,18400
1,179,2008,18400
11,179,2008,18400
7,179,2008,18400
3,179,2008,18400
5,179,2009,18100
9,179,2009,18100
8,179,2009,18100
2,179,2009,18100
4,179,2009,18100
6,179,2009,18100
12,179,2009,18100
10,179,2009,18100
1,179,2009,18100
11,179,2009,18100
7,179,2009,18100
3,179,2009,18100
5,179,2010,12576
9,179,2010,12576
8,179,2010,12576
2,179,2010,12576
4,179,2010,12576
6,179,2010,12576
12,179,2010,12576
10,179,2010,12576
1,179,2010,12576
11,179,2010,12576
7,179,2010,12576
3,179,2010,12576
5,179,2011,9410
9,179,2011,9410
8,179,2011,9410
2,179,2011,9410
4,179,2011,9410
6,179,2011,9410
12,179,2011,9410
10,179,2011,9410
1,179,2011,9410
11,179,2011,9410
7,179,2011,9410
3,179,2011,9410
5,179,2012,8900
9,179,2012,8900
8,179,2012,8900
2,179,2012,8900
4,179,2012,8900
6,179,2012,8900
12,179,2012,8900
10,179,2012,8900
1,179,2012,8900
11,179,2012,8900
7,179,2012,8900
3,179,2012,8900
5,180,2003,0
9,180,2003,0
8,180,2003,0
2,180,2003,0
4,180,2003,0
6,180,2003,0
12,180,2003,0
10,180,2003,0
1,180,2003,0
11,180,2003,0
7,180,2003,0
3,180,2003,0
5,180,2004,0
9,180,2004,0
8,180,2004,0
2,180,2004,0
4,180,2004,0
6,180,2004,0
12,180,2004,0
10,180,2004,0
1,180,2004,0
11,180,2004,0
7,180,2004,0
3,180,2004,0
5,180,2005,0
9,180,2005,0
8,180,2005,0
2,180,2005,0
4,180,2005,0
6,180,2005,0
12,180,2005,0
10,180,2005,0
1,180,2005,0
11,180,2005,0
7,180,2005,0
3,180,2005,0
5,180,2006,0
9,180,2006,0
8,180,2006,0
2,180,2006,0
4,180,2006,0
6,180,2006,0
12,180,2006,0
10,180,2006,0
1,180,2006,0
11,180,2006,0
7,180,2006,0
3,180,2006,0
5,180,2007,0
9,180,2007,0
8,180,2007,0
2,180,2007,0
4,180,2007,0
6,180,2007,0
12,180,2007,0
10,180,2007,0
1,180,2007,0
11,180,2007,0
7,180,2007,0
3,180,2007,0
5,180,2008,0
9,180,2008,0
8,180,2008,0
2,180,2008,0
4,180,2008,0
6,180,2008,0
12,180,2008,0
10,180,2008,0
1,180,2008,0
11,180,2008,0
7,180,2008,0
3,180,2008,0
5,180,2009,0
9,180,2009,0
8,180,2009,0
2,180,2009,0
4,180,2009,0
6,180,2009,0
12,180,2009,0
10,180,2009,0
1,180,2009,0
11,180,2009,0
7,180,2009,0
3,180,2009,0
5,180,2010,0
9,180,2010,0
8,180,2010,0
2,180,2010,0
4,180,2010,0
6,180,2010,0
12,180,2010,0
10,180,2010,0
1,180,2010,0
11,180,2010,0
7,180,2010,0
3,180,2010,0
5,180,2011,0
9,180,2011,0
8,180,2011,0
2,180,2011,0
4,180,2011,0
6,180,2011,0
12,180,2011,0
10,180,2011,0
1,180,2011,0
11,180,2011,0
7,180,2011,0
3,180,2011,0
5,180,2012,0
9,180,2012,0
8,180,2012,0
2,180,2012,0
4,180,2012,0
6,180,2012,0
12,180,2012,0
10,180,2012,0
1,180,2012,0
11,180,2012,0
7,180,2012,0
3,180,2012,0
