"rgn_id","rgn_name","area_km2"
5,"Antioquia",1374.68005371
9,"Atlántico",590.645019531
8,"Bolívar",1164.89001465
2,"Cauca",693.177001953
4,"Chocó",3346.08007812
6,"Córdoba",916.810974121
12,"La Guajira",2501.32006836
10,"Magdalena",1154.54003906
1,"Nariño",2030.84997559
11,"San Andrés y Providencia",962.429992676
7,"Sucre",891.24798584
3,"Valle del Cauca",1437.68005371
