"rgn_id","pressure_score"
5,0.0866925
9,0.0866925
8,0.0866925
2,0.0866925
4,0.0866925
6,0.0866925
12,0.0866925
10,0.0866925
1,0.0866925
11,0.0866925
7,0.0866925
3,0.0866925
