"rgn_id","year","U"
1,1989,
1,1990,
1,1991,0.0888472712121212
1,1992,0.0888172303030303
1,1993,0.0935142272727273
1,1994,0.0921657037878788
1,1995,0.0904009924242424
1,1996,0.0907265462121212
1,1997,0.0887490083333333
1,1998,0.0890226825757576
1,1999,0.0893263946969697
1,2000,0.0889244583333333
1,2001,0.0892957446969697
1,2002,0.089001203030303
1,2003,0.0899863128787879
1,2004,0.0872433863636364
1,2005,0.0829930174242424
1,2006,0.0792881856060606
1,2007,0.0750606628787879
1,2008,0.0754920674242424
1,2009,0.0841593803030303
1,2010,0.0854393916666667
1,2011,0.0849920151515152
1,2012,0.0856661106060606
1,2013,0.0866130295454546
2,1989,
2,1990,
2,1991,0.0888472712121212
2,1992,0.0888172303030303
2,1993,0.0935142272727273
2,1994,0.0921657037878788
2,1995,0.0904009924242424
2,1996,0.0907265462121212
2,1997,0.0887490083333333
2,1998,0.0890226825757576
2,1999,0.0893263946969697
2,2000,0.0889244583333333
2,2001,0.0892957446969697
2,2002,0.089001203030303
2,2003,0.0899863128787879
2,2004,0.0872433863636364
2,2005,0.0829930174242424
2,2006,0.0792881856060606
2,2007,0.0750606628787879
2,2008,0.0754920674242424
2,2009,0.0841593803030303
2,2010,0.0854393916666667
2,2011,0.0849920151515152
2,2012,0.0856661106060606
2,2013,0.0866130295454546
3,1989,
3,1990,
3,1991,0.0888472712121212
3,1992,0.0888172303030303
3,1993,0.0935142272727273
3,1994,0.0921657037878788
3,1995,0.0904009924242424
3,1996,0.0907265462121212
3,1997,0.0887490083333333
3,1998,0.0890226825757576
3,1999,0.0893263946969697
3,2000,0.0889244583333333
3,2001,0.0892957446969697
3,2002,0.089001203030303
3,2003,0.0899863128787879
3,2004,0.0872433863636364
3,2005,0.0829930174242424
3,2006,0.0792881856060606
3,2007,0.0750606628787879
3,2008,0.0754920674242424
3,2009,0.0841593803030303
3,2010,0.0854393916666667
3,2011,0.0849920151515152
3,2012,0.0856661106060606
3,2013,0.0866130295454546
