"rgn_id","year","percent"
5,1980,9.10000038146973
9,1980,9.10000038146973
8,1980,9.10000038146973
2,1980,9.10000038146973
4,1980,9.10000038146973
6,1980,9.10000038146973
12,1980,9.10000038146973
10,1980,9.10000038146973
1,1980,9.10000038146973
11,1980,9.10000038146973
7,1980,9.10000038146973
3,1980,9.10000038146973
5,1981,8.10000038146973
9,1981,8.10000038146973
8,1981,8.10000038146973
2,1981,8.10000038146973
4,1981,8.10000038146973
6,1981,8.10000038146973
12,1981,8.10000038146973
10,1981,8.10000038146973
1,1981,8.10000038146973
11,1981,8.10000038146973
7,1981,8.10000038146973
3,1981,8.10000038146973
5,1982,9.10000038146973
9,1982,9.10000038146973
8,1982,9.10000038146973
2,1982,9.10000038146973
4,1982,9.10000038146973
6,1982,9.10000038146973
12,1982,9.10000038146973
10,1982,9.10000038146973
1,1982,9.10000038146973
11,1982,9.10000038146973
7,1982,9.10000038146973
3,1982,9.10000038146973
5,1983,11.1000003814697
9,1983,11.1000003814697
8,1983,11.1000003814697
2,1983,11.1000003814697
4,1983,11.1000003814697
6,1983,11.1000003814697
12,1983,11.1000003814697
10,1983,11.1000003814697
1,1983,11.1000003814697
11,1983,11.1000003814697
7,1983,11.1000003814697
3,1983,11.1000003814697
5,1984,13.1000003814697
9,1984,13.1000003814697
8,1984,13.1000003814697
2,1984,13.1000003814697
4,1984,13.1000003814697
6,1984,13.1000003814697
12,1984,13.1000003814697
10,1984,13.1000003814697
1,1984,13.1000003814697
11,1984,13.1000003814697
7,1984,13.1000003814697
3,1984,13.1000003814697
5,1985,14
9,1985,14
8,1985,14
2,1985,14
4,1985,14
6,1985,14
12,1985,14
10,1985,14
1,1985,14
11,1985,14
7,1985,14
3,1985,14
5,1986,12.8999996185303
9,1986,12.8999996185303
8,1986,12.8999996185303
2,1986,12.8999996185303
4,1986,12.8999996185303
6,1986,12.8999996185303
12,1986,12.8999996185303
10,1986,12.8999996185303
1,1986,12.8999996185303
11,1986,12.8999996185303
7,1986,12.8999996185303
3,1986,12.8999996185303
5,1987,10.8000001907349
9,1987,10.8000001907349
8,1987,10.8000001907349
2,1987,10.8000001907349
4,1987,10.8000001907349
6,1987,10.8000001907349
12,1987,10.8000001907349
10,1987,10.8000001907349
1,1987,10.8000001907349
11,1987,10.8000001907349
7,1987,10.8000001907349
3,1987,10.8000001907349
5,1988,10.1000003814697
9,1988,10.1000003814697
8,1988,10.1000003814697
2,1988,10.1000003814697
4,1988,10.1000003814697
6,1988,10.1000003814697
12,1988,10.1000003814697
10,1988,10.1000003814697
1,1988,10.1000003814697
11,1988,10.1000003814697
7,1988,10.1000003814697
3,1988,10.1000003814697
5,1989,8.89999961853027
9,1989,8.89999961853027
8,1989,8.89999961853027
2,1989,8.89999961853027
4,1989,8.89999961853027
6,1989,8.89999961853027
12,1989,8.89999961853027
10,1989,8.89999961853027
1,1989,8.89999961853027
11,1989,8.89999961853027
7,1989,8.89999961853027
3,1989,8.89999961853027
5,1990,10.1999998092651
9,1990,10.1999998092651
8,1990,10.1999998092651
2,1990,10.1999998092651
4,1990,10.1999998092651
6,1990,10.1999998092651
12,1990,10.1999998092651
10,1990,10.1999998092651
1,1990,10.1999998092651
11,1990,10.1999998092651
7,1990,10.1999998092651
3,1990,10.1999998092651
5,1991,10.1999998092651
9,1991,10.1999998092651
8,1991,10.1999998092651
2,1991,10.1999998092651
4,1991,10.1999998092651
6,1991,10.1999998092651
12,1991,10.1999998092651
10,1991,10.1999998092651
1,1991,10.1999998092651
11,1991,10.1999998092651
7,1991,10.1999998092651
3,1991,10.1999998092651
5,1992,9.5
9,1992,9.5
8,1992,9.5
2,1992,9.5
4,1992,9.5
6,1992,9.5
12,1992,9.5
10,1992,9.5
1,1992,9.5
11,1992,9.5
7,1992,9.5
3,1992,9.5
5,1993,8.5
9,1993,8.5
8,1993,8.5
2,1993,8.5
4,1993,8.5
6,1993,8.5
12,1993,8.5
10,1993,8.5
1,1993,8.5
11,1993,8.5
7,1993,8.5
3,1993,8.5
5,1994,8.39999961853027
9,1994,8.39999961853027
8,1994,8.39999961853027
2,1994,8.39999961853027
4,1994,8.39999961853027
6,1994,8.39999961853027
12,1994,8.39999961853027
10,1994,8.39999961853027
1,1994,8.39999961853027
11,1994,8.39999961853027
7,1994,8.39999961853027
3,1994,8.39999961853027
5,1995,8.69999980926514
9,1995,8.69999980926514
8,1995,8.69999980926514
2,1995,8.69999980926514
4,1995,8.69999980926514
6,1995,8.69999980926514
12,1995,8.69999980926514
10,1995,8.69999980926514
1,1995,8.69999980926514
11,1995,8.69999980926514
7,1995,8.69999980926514
3,1995,8.69999980926514
5,1996,11.8999996185303
9,1996,11.8999996185303
8,1996,11.8999996185303
2,1996,11.8999996185303
4,1996,11.8999996185303
6,1996,11.8999996185303
12,1996,11.8999996185303
10,1996,11.8999996185303
1,1996,11.8999996185303
11,1996,11.8999996185303
7,1996,11.8999996185303
3,1996,11.8999996185303
5,1997,12.1000003814697
9,1997,12.1000003814697
8,1997,12.1000003814697
2,1997,12.1000003814697
4,1997,12.1000003814697
6,1997,12.1000003814697
12,1997,12.1000003814697
10,1997,12.1000003814697
1,1997,12.1000003814697
11,1997,12.1000003814697
7,1997,12.1000003814697
3,1997,12.1000003814697
5,1998,15
9,1998,15
8,1998,15
2,1998,15
4,1998,15
6,1998,15
12,1998,15
10,1998,15
1,1998,15
11,1998,15
7,1998,15
3,1998,15
5,1999,20.1000003814697
9,1999,20.1000003814697
8,1999,20.1000003814697
2,1999,20.1000003814697
