"rgn_id","product","year","usd"
5,"corals",1995,5.33333333333333
9,"corals",1995,5.33333333333333
8,"corals",1995,5.33333333333333
2,"corals",1995,5.33333333333333
4,"corals",1995,5.33333333333333
6,"corals",1995,5.33333333333333
12,"corals",1995,5.33333333333333
10,"corals",1995,5.33333333333333
1,"corals",1995,5.33333333333333
11,"corals",1995,5.33333333333333
7,"corals",1995,5.33333333333333
3,"corals",1995,5.33333333333333
5,"corals",1996,6.25
9,"corals",1996,6.25
8,"corals",1996,6.25
2,"corals",1996,6.25
4,"corals",1996,6.25
6,"corals",1996,6.25
12,"corals",1996,6.25
10,"corals",1996,6.25
1,"corals",1996,6.25
11,"corals",1996,6.25
7,"corals",1996,6.25
3,"corals",1996,6.25
5,"corals",1997,6.75
9,"corals",1997,6.75
8,"corals",1997,6.75
2,"corals",1997,6.75
4,"corals",1997,6.75
6,"corals",1997,6.75
12,"corals",1997,6.75
10,"corals",1997,6.75
1,"corals",1997,6.75
11,"corals",1997,6.75
7,"corals",1997,6.75
3,"corals",1997,6.75
5,"corals",1998,6.25
9,"corals",1998,6.25
8,"corals",1998,6.25
2,"corals",1998,6.25
4,"corals",1998,6.25
6,"corals",1998,6.25
12,"corals",1998,6.25
10,"corals",1998,6.25
1,"corals",1998,6.25
11,"corals",1998,6.25
7,"corals",1998,6.25
3,"corals",1998,6.25
5,"corals",1999,5.5
9,"corals",1999,5.5
8,"corals",1999,5.5
2,"corals",1999,5.5
4,"corals",1999,5.5
6,"corals",1999,5.5
12,"corals",1999,5.5
10,"corals",1999,5.5
1,"corals",1999,5.5
11,"corals",1999,5.5
7,"corals",1999,5.5
3,"corals",1999,5.5
5,"corals",2000,3.5
9,"corals",2000,3.5
8,"corals",2000,3.5
2,"corals",2000,3.5
4,"corals",2000,3.5
6,"corals",2000,3.5
12,"corals",2000,3.5
10,"corals",2000,3.5
1,"corals",2000,3.5
11,"corals",2000,3.5
7,"corals",2000,3.5
3,"corals",2000,3.5
5,"corals",2001,7.75
9,"corals",2001,7.75
8,"corals",2001,7.75
2,"corals",2001,7.75
4,"corals",2001,7.75
6,"corals",2001,7.75
12,"corals",2001,7.75
10,"corals",2001,7.75
1,"corals",2001,7.75
11,"corals",2001,7.75
7,"corals",2001,7.75
3,"corals",2001,7.75
5,"corals",2002,12.5
9,"corals",2002,12.5
8,"corals",2002,12.5
2,"corals",2002,12.5
4,"corals",2002,12.5
6,"corals",2002,12.5
12,"corals",2002,12.5
10,"corals",2002,12.5
1,"corals",2002,12.5
11,"corals",2002,12.5
