"cntry_key","sector","value"
"COL","aqf","2.3436e+11"
"COL","cf","2.0752e+11"
"COL","mar","2.0752e+11"
"COL","mmw","1.62774e+11"
"COL","og","2.3436e+11"
"COL","tour","NA"
