"rgn_id","year","count"
5,1990,508048.569567108
9,1990,4618985.26509172
8,1990,1923619.15899628
2,1990,116406.009357923
4,1990,314816.98376255
6,1990,602449.26715756
12,1990,615106.569452619
10,1990,931663.900075786
1,1990,560689.407180112
11,1990,165805.160592319
7,1990,554580.088591215
3,1990,496037.062605011
5,1991,521541.438335889
9,1991,4741657.32000946
8,1991,1974707.07150741
2,1991,119497.5464712
4,1991,323177.964390271
6,1991,618449.250994797
12,1991,631442.708785736
10,1991,956407.240562001
1,1991,575580.323215114
11,1991,170208.651532103
7,1991,569308.751961955
3,1991,509210.927056364
5,1992,534335.904941522
9,1992,4857979.76685048
8,1992,2023150.63097399
2,1992,122429.063039968
4,1992,331106.173673624
6,1992,633621.062297806
12,1992,646933.275895241
10,1992,979869.845067217
1,1992,589700.472992153
11,1992,174384.214100949
7,1992,583275.047408226
3,1992,521702.901274624
5,1993,548398.586221511
9,1993,4985832.34140905
8,1993,2076396.01883148
2,1993,125651.157750461
4,1993,339820.243881424
6,1993,650296.735725287
12,1993,663959.300881022
10,1993,1005658.11270864
1,1993,605220.241972034
11,1993,178973.667290383
7,1993,598625.711689658
3,1993,535433.106480044
5,1994,576239.940391935
9,1994,5238955.39376399
8,1994,2181811.45645443
2,1994,132030.274095304
4,1994,357072.395877967
6,1994,683311.302484008
12,1994,697667.495094179
10,1994,1056713.83092847
1,1994,635946.344356709
11,1994,188059.885569214
7,1994,629017.01989763
3,1994,562616.223152157
5,1995,606097.447172302
9,1995,5510408.5424037
8,1995,2294860.63230687
2,1995,138871.338949873
4,1995,375573.875441769
6,1995,718716.643934552
12,1995,733816.693553154
10,1995,1111466.78739726
1,1995,668897.500563731
11,1995,197804.089181131
7,1995,661609.137555745
3,1995,591767.825670518
5,1996,636998.821938059
9,1996,5791352.14359468
8,1996,2411862.19495153
2,1996,145951.578784463
4,1996,394722.197434214
6,1996,755359.814877153
12,1996,771229.727979627
10,1996,1168133.99808638
1,1996,703000.683873991
11,1996,207888.966321766
7,1996,695340.729733608
3,1996,621938.616589827
5,1997,668967.565769683
9,1997,6081999.86026394
8,1997,2532905.12629165
2,1997,153276.378255498
4,1997,414531.924516656
6,1997,793268.683136973
12,1997,809935.051694513
10,1997,1226758.5594823
1,1997,738281.830403976
11,1997,218322.186731094
7,1997,730237.449945611
3,1997,653151.541367713
5,1998,701976.778924729
9,1998,6382107.13013647
8,1998,2657887.57610455
2,1998,160839.573992271
4,1998,434986.388015493
6,1998,832411.350720212
12,1998,849900.096535464
10,1998,1287291.14260259
1,1998,774711.253226984
11,1998,229094.971492326
7,1998,766269.934736287
3,1998,685380.336237233
5,1999,737140.315735426
9,1999,6701800.69513462
8,1999,2791026.91977943
2,1999,168896.376511234
4,1999,456775.79804493
6,1999,874108.63765544
12,1999,892473.432616065
10,1999,1351774.34324111
1,1999,813518.217343712
11,1999,240570.834661982
7,1999,804654.054932262
3,1999,719712.521298286
5,2000,772109.684108359
9,2000,7019728.95420199
8,2000,2923431.08546282
2,2000,176908.690423521
4,2000,478444.889810367
6,2000,915575.677641769
12,2000,934811.684319298
10,2000,1415901.47610416
1,2000,852110.894495011
11,2000,251983.329620538
7,2000,842826.223051472
3,2000,753855.128536886
5,2001,806777.496177192
9,2001,7334915.57751116
8,2001,3054693.47156286
2,2001,184851.91061513
4,2001,499927.119429587
6,2001,956685.129032648
12,2001,976784.834583766
10,2001,1479475.6123854
1,2001,890370.769950754
11,2001,263297.409595913
7,2001,880669.215710185
3,2001,787703.308997702
5,2002,843565.027869639
9,2002,7669373.88918654
8,2002,3193981.73062847
2,2002,193280.808982258
4,2002,522722.852871674
6,2002,1000308.16595515
12,2002,1021324.38015763
10,2002,1546936.90900896
1,2002,930969.997213282
11,2002,275303.27471479
7,2002,920826.070403098
3,2002,823621.093741705
5,2003,880032.305925199
9,2003,8000920.57603217
8,2003,3332057.41658875
2,2003,201636.329625118
4,2003,545320.138192768
6,2003,1043551.44279091
12,2003,1065476.18698418
10,2003,1613810.92171869
1,2003,971215.788145961
11,2003,287204.622846759
7,2003,960633.339837919
3,2003,859226.196425673
5,2004,873139.527884303
9,2004,7938254.04744894
8,2004,3305959.36082713
2,2004,200057.030256527
4,2004,541048.96468188
6,2004,1035377.91504541
12,2004,1057130.93554818
10,2004,1601170.8852013
1,2004,963608.823251114
11,2004,284955.117113534
7,2004,953109.261067622
3,2004,852496.380464361
5,2005,886615.224615479
9,2005,8060769.9807015
8,2005,3356982.255026
2,2005,203144.632847615
4,2005,549399.304498056
6,2005,1051357.53610222
12,2005,1073446.28428415
10,2005,1625882.73545511
1,2005,978480.787988619
11,2005,289353.00384021
7,2005,967819.179635785
3,2005,865653.478866949
5,2006,878295.918865723
9,2006,7985134.0022228
8,2006,3325482.95183258
2,2006,201238.4820562
4,2006,544244.169930178
6,2006,1041492.4169927
12,2006,1063373.90158988
10,2006,1610626.71997741
1,2006,969299.487442974
11,2006,286637.940933862
7,2006,958737.919307371
3,2006,857530.861790125
5,2007,885628.206434448
9,2007,8051796.38505012
8,2007,3353245.11807288
2,2007,202918.483509737
4,2007,548787.689575224
6,2007,1050187.11969825
12,2007,1072251.27773618
10,2007,1624072.73290207
1,2007,977391.50111341
11,2007,289030.883637898
7,2007,966741.761721305
3,2007,864689.79620237
5,2008,910963.049940407
9,2008,8282131.19132098
8,2008,3449170.17972547
2,2008,208723.298653197
4,2008,564486.659111617
6,2008,1080229.44009435
12,2008,1102924.77946427
10,2008,1670531.98999374
1,2008,1005351.38376491
11,2008,297299.084844853
7,2008,994396.991157245
3,2008,889425.662233764
5,2009,963969.880670641
9,2009,8764049.2297888
8,2009,3649869.4066463
2,2009,220868.424146365
4,2009,597332.830853667
6,2009,1143085.49016646
12,2009,1167101.41878797
10,2009,1767736.37872151
1,2009,1063850.4531038
11,2009,314598.230257673
7,2009,1052258.64975292
3,2009,941179.282238698
5,2010,988702.606367292
9,2010,8988909.80887818
8,2010,3743514.67572917
2,2010,226535.279780551
4,2010,612658.692533941
6,2010,1172413.81301452
12,2010,1197045.92206536
10,2010,1813091.46692042
1,2010,1091145.83023796
11,2010,322669.926157758
7,2010,1079256.61417911
3,2010,965327.265993943
5,2011,1008950.36989308
9,2011,9172994.80975985
8,2011,3820178.57791912
2,2011,231174.523923033
4,2011,625205.406023477
6,2011,1196423.82116804
12,2011,1221560.37424077
10,2011,1850221.99235487
1,2011,1113491.54127435
11,2011,329277.923668488
7,2011,1101358.84448256
3,2011,985096.323019756
5,2012,1029053.24398564
9,2012,9355762.53076464
8,2012,3896293.88671389
2,2012,235780.570450697
4,2012,637662.337438854
6,2012,1220262.01792774
12,2012,1245899.40530969
10,2012,1887086.81828237
1,2012,1135677.35033425
11,2012,335838.635511696
7,2012,1123302.9151148
3,2012,1004723.91615182
