rgn_id,year,jobs
1,1990,11408207.4424302
1,1991,11711189.1948223
1,1992,11998488.3585158
1,1993,12314265.224841
1,1994,12939441.562066
1,1995,13609890.5141306
1,1996,14303779.4741653
1,1997,15021636.1578596
1,1998,15762856.5327246
1,1999,16552452.1469545
1,2000,17337687.7177762
1,2001,18116151.8555523
1,2002,18942214.2007332
1,2003,19761085.2651141
1,2004,19606308.2487903
1,2005,19908904.4038617
1,2006,19722094.7729418
1,2007,19886740.9556539
1,2008,20455633.7103048
1,2009,21645899.6751348
1,2010,22201271.9018582
1,2011,22655934.5077274
1,2012,23107343.6279861
2,1990,11408207.4424302
2,1991,11711189.1948223
2,1992,11998488.3585158
2,1993,12314265.224841
2,1994,12939441.562066
2,1995,13609890.5141306
2,1996,14303779.4741653
2,1997,15021636.1578596
2,1998,15762856.5327246
2,1999,16552452.1469545
2,2000,17337687.7177762
2,2001,18116151.8555523
2,2002,18942214.2007332
2,2003,19761085.2651141
2,2004,19606308.2487903
2,2005,19908904.4038617
2,2006,19722094.7729418
2,2007,19886740.9556539
2,2008,20455633.7103048
2,2009,21645899.6751348
2,2010,22201271.9018582
2,2011,22655934.5077274
2,2012,23107343.6279861
3,1990,11408207.4424302
3,1991,11711189.1948223
3,1992,11998488.3585158
3,1993,12314265.224841
3,1994,12939441.562066
3,1995,13609890.5141306
3,1996,14303779.4741653
3,1997,15021636.1578596
3,1998,15762856.5327246
3,1999,16552452.1469545
3,2000,17337687.7177762
3,2001,18116151.8555523
3,2002,18942214.2007332
3,2003,19761085.2651141
3,2004,19606308.2487903
3,2005,19908904.4038617
3,2006,19722094.7729418
3,2007,19886740.9556539
3,2008,20455633.7103048
3,2009,21645899.6751348
3,2010,22201271.9018582
3,2011,22655934.5077274
3,2012,23107343.6279861
