"rgn_id","year","count"
5,1988,8688.50574665111
9,1988,78992.6050842766
8,1988,32897.2014064488
2,1988,1990.74329077004
4,1988,5383.91275246566
6,1988,10302.9202980027
12,1988,10519.3819717782
10,1988,15933.0576536278
1,1988,9588.75475335301
11,1988,2835.55387599706
7,1988,9484.27488105855
3,1988,8483.08828557048
5,1989,8434.66421535479
9,1989,76684.7739772527
8,1989,31936.0837846304
2,1989,1932.58215926112
4,1989,5226.61750546897
6,1989,10001.912375406
12,1989,10212.0499510753
10,1989,15467.5608385295
1,1989,9308.61173903157
11,1989,2752.71093856403
7,1989,9207.18432840846
3,1989,8235.24818701717
5,1990,8719.67926803837
9,1990,79276.0229395252
8,1990,33015.2333950931
2,1990,1997.88588586762
4,1990,5403.22971262315
6,1990,10339.8861832339
12,1990,10557.1245006364
10,1990,15990.2239291662
1,1990,9623.15828142757
11,1990,2845.72757006778
7,1990,9518.30354541909
3,1990,8513.52478890159
5,1991,9156.10856746011
9,1991,83243.872913005
8,1991,34667.6812361141
2,1991,2097.88221723383
4,1991,5673.66715482798
6,1991,10857.4085764703
12,1991,11085.5199046519
10,1991,16790.5517867036
1,1991,10104.8076744714
11,1991,2988.1592870579
7,1991,9994.70484646663
3,1991,8939.63583553711
5,1992,10750.4115184089
9,1992,97738.671795717
8,1992,40704.1743696398
2,1992,2463.17493793894
4,1992,6661.59168859667
6,1992,12747.9495640075
12,1992,13015.7806662596
10,1992,19714.1984499526
1,1992,11864.3023959991
11,1992,3508.47106953198
7,1992,11735.0279666199
3,1992,10496.2455773281
5,1993,11262.5479411997
9,1993,102394.8222748
8,1993,42643.27132594
2,1993,2580.51757168499
4,1993,6978.94174832683
6,1993,13355.2462499482
12,1993,13635.8364975023
10,1993,20653.3586909404
1,1993,12429.5032143669
11,1993,3675.61032926528
7,1993,12294.0703096858
3,1993,10996.2738463392
5,1994,10536.6502288962
9,1994,95795.2350740126
8,1994,39894.8121617928
2,1994,2414.19714298406
4,1994,6529.13253323104
6,1994,12494.4692081366
12,1994,12756.9747540888
10,1994,19322.2011319751
1,1994,11628.3924892021
11,1994,3438.70859590417
7,1994,11501.6885538619
3,1994,10287.5381259148
5,1995,11030.9732108943
9,1995,100289.432492954
8,1995,41766.4622674391
2,1995,2527.45829381721
4,1995,6835.44433001406
6,1995,13080.642531088
12,1995,13355.4634259839
10,1995,20228.6949297981
1,1995,12173.9341486701
11,1995,3600.03431616849
7,1995,12041.2859458647
3,1995,10770.1741073081
5,1996,12090.8729380614
9,1996,109925.639571405
8,1996,45779.5498813472
2,1996,2770.30652713513
4,1996,7492.22097536866
6,1996,14337.4826289479
12,1996,14638.7094071644
10,1996,22172.3482981032
1,1996,13343.6541032052
11,1996,3945.93991457305
7,1996,13198.260534123
3,1996,11805.0152205658
5,1997,12429.3283131231
9,1997,113002.747714104
8,1997,47061.0400437717
2,1997,2847.85470248035
4,1997,7701.94797136425
6,1997,14738.8265257435
12,1997,15048.4854347683
10,1997,22793.0107182343
1,1997,13717.1781223005
11,1997,4056.39716448375
7,1997,13567.7146043231
3,1997,12135.4686853035
5,1998,12157.6733410341
9,1998,110532.963546938
8,1998,46032.4755712994
2,1998,2785.61208805853
4,1998,7533.61446142042
6,1998,14416.6952401576
12,1998,14719.5862547178
10,1998,22294.8474599712
1,1998,13417.3759490793
11,1998,3967.74068758174
7,1998,13271.1791006099
3,1998,11870.2362991325
5,1999,12442.6883937177
9,1999,113124.21250921
8,1999,47111.6251817621
2,1999,2850.91581466503
4,1999,7710.2266685746
6,1999,14754.6690479855
12,1999,15064.660804279
10,1999,22817.5105506079
1,1999,13731.9224914753
11,1999,4060.75731908549
7,1999,13582.2983176205
3,1999,12148.5129010169
5,2000,13217.5730682012
9,2000,120169.170625389
8,2000,50045.5631852076
2,2000,3028.46032137646
4,2000,8190.39110677503
6,2000,15673.5353380175
12,2000,16002.8322358983
10,2000,24238.5008282764
1,2000,14587.0959036144
11,2000,4313.6462859863
7,2000,14428.1536888682
3,2000,12905.0774123902
5,2001,15475.4266886789
9,2001,140696.720998391
8,2001,58594.4515055917
2,2001,3545.78828058733
4,2001,9589.49093532453
6,2001,18350.9215969039
12,2001,18736.4696832031
10,2001,28378.9724994139
1,2001,17078.8942941577
11,2001,5050.51241368005
7,2001,16892.8012361243
3,2001,15109.5498679433
5,2002,15065.7175504463
9,2002,136971.800615124
8,2002,57043.1739405516
2,2002,3451.91417359048
4,2002,9335.6108875404
6,2002,17865.0842481513
12,2002,18240.4250182089
10,2002,27627.6443066237
1,2002,16626.7336394635
11,2002,4916.80100589342
7,2002,16445.5673616715
3,2002,14709.5272527345
5,2003,16432.8991312878
9,2003,149401.697981026
8,2003,62219.7197282399
2,2003,3765.16798715604
4,2003,10182.7975687331
6,2003,19486.3023575756
12,2003,19895.7044981351
10,2003,30134.7938195215
1,2003,18135.5740850193
11,2003,5362.99016013796
7,2003,17937.9673557694
3,2003,16044.3853273988
5,2004,17546.2391808331
9,2004,159523.764239903
8,2004,66435.1478941098
2,2004,4020.26066921268
4,2004,10872.6890029291
6,2004,20806.5125444033
12,2004,21243.6519573583
10,2004,32176.4465173211
1,2004,19364.2715162536
11,2004,5726.33637694947
7,2004,19153.2767972172
3,2004,17131.4033035098
5,2005,18793.1800363238
9,2005,170860.478449845
8,2005,71156.4274398841
2,2005,4305.96447311612
4,2005,11645.3674092286
6,2005,22285.1479536502
12,2005,22753.3531116883
10,2005,34463.0975388566
1,2005,20740.4126392361
11,2005,6133.28413977837
7,2005,20514.4233716387
