"cntry_key","sector","year","value"
"COL","mmw",1998,0
"COL","mmw",2006,11.49
"COL","tour",2005,76082.0820738
"COL","tour",2006,79745.1829072
"COL","tour",2007,78372.452656
"COL","tour",2008,73359.003043
"COL","tour",2009,72247.3899591
"COL","tour",2010,71188.0003087
