"rgn_id","product","year","tonnes"
5,"corals",1995,1.33333333333333
9,"corals",1995,1.33333333333333
8,"corals",1995,1.33333333333333
2,"corals",1995,1.33333333333333
4,"corals",1995,1.33333333333333
6,"corals",1995,1.33333333333333
12,"corals",1995,1.33333333333333
10,"corals",1995,1.33333333333333
1,"corals",1995,1.33333333333333
11,"corals",1995,1.33333333333333
7,"corals",1995,1.33333333333333
3,"corals",1995,1.33333333333333
5,"corals",1996,1.25
9,"corals",1996,1.25
8,"corals",1996,1.25
2,"corals",1996,1.25
4,"corals",1996,1.25
6,"corals",1996,1.25
12,"corals",1996,1.25
10,"corals",1996,1.25
1,"corals",1996,1.25
11,"corals",1996,1.25
7,"corals",1996,1.25
3,"corals",1996,1.25
5,"corals",1997,1.25
9,"corals",1997,1.25
8,"corals",1997,1.25
2,"corals",1997,1.25
4,"corals",1997,1.25
6,"corals",1997,1.25
12,"corals",1997,1.25
10,"corals",1997,1.25
1,"corals",1997,1.25
11,"corals",1997,1.25
7,"corals",1997,1.25
3,"corals",1997,1.25
5,"corals",1998,1
9,"corals",1998,1
8,"corals",1998,1
2,"corals",1998,1
4,"corals",1998,1
6,"corals",1998,1
12,"corals",1998,1
10,"corals",1998,1
1,"corals",1998,1
11,"corals",1998,1
7,"corals",1998,1
3,"corals",1998,1
5,"corals",1999,0.75
9,"corals",1999,0.75
8,"corals",1999,0.75
2,"corals",1999,0.75
4,"corals",1999,0.75
6,"corals",1999,0.75
12,"corals",1999,0.75
10,"corals",1999,0.75
1,"corals",1999,0.75
11,"corals",1999,0.75
7,"corals",1999,0.75
3,"corals",1999,0.75
5,"corals",2000,0.5
9,"corals",2000,0.5
8,"corals",2000,0.5
2,"corals",2000,0.5
4,"corals",2000,0.5
6,"corals",2000,0.5
12,"corals",2000,0.5
10,"corals",2000,0.5
1,"corals",2000,0.5
11,"corals",2000,0.5
7,"corals",2000,0.5
3,"corals",2000,0.5
5,"corals",2001,3.25
9,"corals",2001,3.25
8,"corals",2001,3.25
2,"corals",2001,3.25
4,"corals",2001,3.25
6,"corals",2001,3.25
12,"corals",2001,3.25
10,"corals",2001,3.25
1,"corals",2001,3.25
11,"corals",2001,3.25
7,"corals",2001,3.25
3,"corals",2001,3.25
5,"corals",2002,4
9,"corals",2002,4
8,"corals",2002,4
2,"corals",2002,4
4,"corals",2002,4
6,"corals",2002,4
12,"corals",2002,4
10,"corals",2002,4
1,"corals",2002,4
11,"corals",2002,4
7,"corals",2002,4
3,"corals",2002,4
5,"corals",2003,6
9,"corals",2003,6
8,"corals",2003,6
2,"corals",2003,6
4,"corals",2003,6
6,"corals",2003,6
12,"corals",2003,6
10,"corals",2003,6
1,"corals",2003,6
11,"corals",2003,6
7,"corals",2003,6
3,"corals",2003,6
5,"corals",2004,6
9,"corals",2004,6
8,"corals",2004,6
2,"corals",2004,6
4,"corals",2004,6
6,"corals",2004,6
12,"corals",2004,6
10,"corals",2004,6
1,"corals",2004,6
11,"corals",2004,6
7,"corals",2004,6
3,"corals",2004,6
5,"corals",2005,3
9,"corals",2005,3
8,"corals",2005,3
2,"corals",2005,3
4,"corals",2005,3
6,"corals",2005,3
12,"corals",2005,3
10,"corals",2005,3
1,"corals",2005,3
11,"corals",2005,3
7,"corals",2005,3
3,"corals",2005,3
5,"corals",2006,2.25
9,"corals",2006,2.25
8,"corals",2006,2.25
2,"corals",2006,2.25
4,"corals",2006,2.25
6,"corals",2006,2.25
12,"corals",2006,2.25
10,"corals",2006,2.25
1,"corals",2006,2.25
11,"corals",2006,2.25
7,"corals",2006,2.25
3,"corals",2006,2.25
5,"corals",2007,0
9,"corals",2007,0
8,"corals",2007,0
2,"corals",2007,0
4,"corals",2007,0
6,"corals",2007,0
12,"corals",2007,0
10,"corals",2007,0
1,"corals",2007,0
11,"corals",2007,0
7,"corals",2007,0
3,"corals",2007,0
5,"corals",2008,0
9,"corals",2008,0
8,"corals",2008,0
2,"corals",2008,0
4,"corals",2008,0
6,"corals",2008,0
12,"corals",2008,0
10,"corals",2008,0
1,"corals",2008,0
11,"corals",2008,0
7,"corals",2008,0
3,"corals",2008,0
5,"corals",2009,0
9,"corals",2009,0
8,"corals",2009,0
