rgn_id,habitat,trend
1,coral,-0.0093518584187365
1,seagrass,-0.725000000222484
1,soft_bottom,0.006092558006501
1,mangrove,-0.000867
2,coral,-0.0093518584187365
2,seagrass,-0.725000000222484
2,soft_bottom,0.006092558006501
2,mangrove,-0.000867
3,coral,-0.0093518584187365
3,seagrass,-0.725000000222484
3,soft_bottom,0.006092558006501
3,mangrove,-0.000867
