"rgn_id","rgn_name","area_km2"
5,"Antioquia",299.333007812
9,"Atlántico",146.445007324
8,"Bolívar",234.322006226
2,"Cauca",460.721984863
4,"Chocó",776.530029297
6,"Córdoba",150.330001831
12,"La Guajira",562.320007324
10,"Magdalena",243.233001709
1,"Nariño",879.520019531
11,"San Andrés y Providencia",47.7653999329
7,"Sucre",110.191001892
3,"Valle del Cauca",739.942016602
