"rgn_id","count","year"
11,30076525,1985
7,30076525,1985
3,30076525,1985
5,30718127,1986
9,30718127,1986
8,30718127,1986
2,30718127,1986
4,30718127,1986
6,30718127,1986
12,30718127,1986
10,30718127,1986
1,30718127,1986
11,30718127,1986
7,30718127,1986
3,30718127,1986
5,31362479,1987
9,31362479,1987
8,31362479,1987
2,31362479,1987
4,31362479,1987
6,31362479,1987
12,31362479,1987
10,31362479,1987
1,31362479,1987
11,31362479,1987
7,31362479,1987
3,31362479,1987
5,32009024,1988
9,32009024,1988
8,32009024,1988
2,32009024,1988
4,32009024,1988
6,32009024,1988
12,32009024,1988
10,32009024,1988
1,32009024,1988
11,32009024,1988
7,32009024,1988
3,32009024,1988
5,32657292,1989
9,32657292,1989
8,32657292,1989
2,32657292,1989
4,32657292,1989
6,32657292,1989
12,32657292,1989
10,32657292,1989
1,32657292,1989
11,32657292,1989
7,32657292,1989
3,32657292,1989
5,33306941,1990
9,33306941,1990
8,33306941,1990
2,33306941,1990
4,33306941,1990
6,33306941,1990
12,33306941,1990
10,33306941,1990
1,33306941,1990
11,33306941,1990
7,33306941,1990
3,33306941,1990
5,33957286,1991
9,33957286,1991
8,33957286,1991
2,33957286,1991
4,33957286,1991
6,33957286,1991
12,33957286,1991
10,33957286,1991
1,33957286,1991
11,33957286,1991
7,33957286,1991
3,33957286,1991
5,34608171,1992
9,34608171,1992
8,34608171,1992
2,34608171,1992
4,34608171,1992
6,34608171,1992
12,34608171,1992
10,34608171,1992
1,34608171,1992
11,34608171,1992
7,34608171,1992
3,34608171,1992
5,35260456,1993
9,35260456,1993
8,35260456,1993
2,35260456,1993
4,35260456,1993
6,35260456,1993
12,35260456,1993
10,35260456,1993
1,35260456,1993
11,35260456,1993
7,35260456,1993
3,35260456,1993
5,35915434,1994
9,35915434,1994
8,35915434,1994
2,35915434,1994
4,35915434,1994
6,35915434,1994
12,35915434,1994
10,35915434,1994
1,35915434,1994
11,35915434,1994
7,35915434,1994
3,35915434,1994
5,36573895,1995
9,36573895,1995
8,36573895,1995
2,36573895,1995
4,36573895,1995
6,36573895,1995
12,36573895,1995
10,36573895,1995
1,36573895,1995
11,36573895,1995
7,36573895,1995
3,36573895,1995
5,37236124,1996
9,37236124,1996
8,37236124,1996
2,37236124,1996
4,37236124,1996
6,37236124,1996
12,37236124,1996
10,37236124,1996
1,37236124,1996
11,37236124,1996
7,37236124,1996
3,37236124,1996
5,37901358,1997
9,37901358,1997
8,37901358,1997
2,37901358,1997
4,37901358,1997
6,37901358,1997
12,37901358,1997
10,37901358,1997
1,37901358,1997
11,37901358,1997
7,37901358,1997
