"goal","dimension","region_id","score"
"CP","trend",9,-0.24
"CP","trend",10,-0.24
"CP","trend",11,-0.24
"CP","trend",12,-0.24
"CS","future",0,31.82
"CS","future",1,31.83
"CS","future",2,31.85
"CS","future",3,31.84
"CS","future",4,31.85
"CS","future",5,31.84
"CS","future",6,31.83
"CS","future",7,31.83
"CS","future",8,31.77
"CS","future",9,31.65
"CS","future",10,31.82
"CS","future",11,31.85
"CS","future",12,31.83
"CS","pressures",1,31.17
"CS","pressures",2,31.08
"CS","pressures",3,31.16
"CS","pressures",4,31.12
"CS","pressures",5,31.16
"CS","pressures",6,31.18
"CS","pressures",7,31.17
"CS","pressures",8,31.45
"CS","pressures",9,32
"CS","pressures",10,31.25
"CS","pressures",11,31.09
"CS","pressures",12,31.18
"CS","resilience",1,65.52
"CS","resilience",2,65.52
"CS","resilience",3,65.52
"CS","resilience",4,65.52
"CS","resilience",5,65.52
"CS","resilience",6,65.52
"CS","resilience",7,65.52
"CS","resilience",8,65.52
"CS","resilience",9,65.52
"CS","resilience",10,65.52
"CS","resilience",11,65.52
"CS","resilience",12,65.52
"CS","score",0,49.7
"CS","score",1,49.71
"CS","score",2,49.72
"CS","score",3,49.71
"CS","score",4,49.71
"CS","score",5,49.71
"CS","score",6,49.71
"CS","score",7,49.71
"CS","score",8,49.68
"CS","score",9,49.61
"CS","score",10,49.7
"CS","score",11,49.72
"CS","score",12,49.71
"CS","status",0,67.58
"CS","status",1,67.58
"CS","status",2,67.58
"CS","status",3,67.58
"CS","status",4,67.58
"CS","status",5,67.58
"CS","status",6,67.58
"CS","status",7,67.58
"CS","status",8,67.58
"CS","status",9,67.58
"CS","status",10,67.58
"CS","status",11,67.58
"CS","status",12,67.58
"CS","trend",1,-0.96
"CS","trend",2,-0.96
"CS","trend",3,-0.96
"CS","trend",4,-0.96
"CS","trend",5,-0.96
"CS","trend",6,-0.96
"CS","trend",7,-0.96
"CS","trend",8,-0.96
"CS","trend",9,-0.96
"CS","trend",10,-0.96
"CS","trend",11,-0.96
"CS","trend",12,-0.96
"CW","future",0,53.11
"CW","future",1,53.11
"CW","future",2,53.11
"CW","future",3,53.11
"CW","future",4,53.11
"CW","future",5,53.11
"CW","future",6,53.11
"CW","future",7,53.11
"CW","future",8,53.11
"CW","future",9,53.11
"CW","future",10,53.11
"CW","future",11,53.11
"CW","future",12,53.11
"CW","pressures",1,78.24
"CW","pressures",2,78.24
"CW","pressures",3,78.24
"CW","pressures",4,78.24
"CW","pressures",5,78.24
"CW","pressures",6,78.24
"CW","pressures",7,78.24
"CW","pressures",8,78.24
"CW","pressures",9,78.24
"CW","pressures",10,78.24
"CW","pressures",11,78.24
"CW","pressures",12,78.24
"CW","resilience",1,71.76
"CW","resilience",2,71.76
"CW","resilience",3,71.76
"CW","resilience",4,71.76
"CW","resilience",5,71.76
"CW","resilience",6,71.76
"CW","resilience",7,71.76
"CW","resilience",8,71.76
"CW","resilience",9,71.76
"CW","resilience",10,71.76
"CW","resilience",11,71.76
"CW","resilience",12,71.76
"CW","score",0,51.31
"CW","score",1,51.31
"CW","score",2,51.31
"CW","score",3,51.31
"CW","score",4,51.31
"CW","score",5,51.31
"CW","score",6,51.31
"CW","score",7,51.31
"CW","score",8,51.31
"CW","score",9,51.31
"CW","score",10,51.31
"CW","score",11,51.31
"CW","score",12,51.31
"CW","status",0,49.52
"CW","status",1,49.52
"CW","status",2,49.52
"CW","status",3,49.52
"CW","status",4,49.52
"CW","status",5,49.52
"CW","status",6,49.52
"CW","status",7,49.52
"CW","status",8,49.52
"CW","status",9,49.52
"CW","status",10,49.52
"CW","status",11,49.52
"CW","status",12,49.52
"CW","trend",1,0.14
"CW","trend",2,0.14
"CW","trend",3,0.14
"CW","trend",4,0.14
"CW","trend",5,0.14
"CW","trend",6,0.14
"CW","trend",7,0.14
"CW","trend",8,0.14
"CW","trend",9,0.14
"CW","trend",10,0.14
"CW","trend",11,0.14
"CW","trend",12,0.14
"ECO","future",0,100
"ECO","future",1,100
"ECO","future",2,100
"ECO","future",3,100
"ECO","future",4,100
"ECO","future",5,100
"ECO","future",6,100
"ECO","future",7,100
"ECO","future",8,100
"ECO","future",9,100
"ECO","future",10,100
"ECO","future",11,100
"ECO","future",12,100
"ECO","pressures",1,35.3
"ECO","pressures",2,35.3
"ECO","pressures",3,35.3
"ECO","pressures",4,35.3
"ECO","pressures",5,35.3
"ECO","pressures",6,35.3
"ECO","pressures",7,35.3
"ECO","pressures",8,35.31
"ECO","pressures",9,35.32
"ECO","pressures",10,35.31
"ECO","pressures",11,35.3
"ECO","pressures",12,35.3
"ECO","resilience",1,51.69
"ECO","resilience",2,51.69
"ECO","resilience",3,51.69
"ECO","resilience",4,51.69
"ECO","resilience",5,51.69
"ECO","resilience",6,51.69
"ECO","resilience",7,51.69
"ECO","resilience",8,51.69
"ECO","resilience",9,51.69
"ECO","resilience",10,51.69
"ECO","resilience",11,51.69
"ECO","resilience",12,51.69
"ECO","score",0,100
"ECO","score",1,100
"ECO","score",2,100
"ECO","score",3,100
"ECO","score",4,100
"ECO","score",5,100
"ECO","score",6,100
"ECO","score",7,100
"ECO","score",8,100
"ECO","score",9,100
"ECO","score",10,100
"ECO","score",11,100
"ECO","score",12,100
"ECO","status",0,100
"ECO","status",1,100
"ECO","status",2,100
"ECO","status",3,100
"ECO","status",4,100
"ECO","status",5,100
